trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,8,8,2026-03-17T10:45:06.444,2026-03-17T10:45:07.964,3117,4637,1521,1
2,7,7,2026-03-17T10:45:11.004,2026-03-17T10:45:12.524,7676,9196,1521,1
3,5,5,2026-03-17T10:45:15.565,2026-03-17T10:45:17.085,12237,13757,1521,1
4,3,3,2026-03-17T10:45:20.124,2026-03-17T10:45:21.644,16796,18316,1521,1
5,4,4,2026-03-17T10:45:24.684,2026-03-17T10:45:26.204,21356,22876,1521,1
6,1,1,2026-03-17T10:45:29.244,2026-03-17T10:45:30.764,25915,27435,1521,1
7,6,6,2026-03-17T10:45:33.804,2026-03-17T10:45:35.324,30475,31995,1521,1
8,5,5,2026-03-17T10:45:38.364,2026-03-17T10:45:39.884,35035,36555,1521,1
9,4,4,2026-03-17T10:45:42.924,2026-03-17T10:45:44.444,39595,41115,1521,1
10,2,2,2026-03-17T10:45:47.484,2026-03-17T10:45:49.004,44154,45675,1522,1
11,7,7,2026-03-17T10:45:52.044,2026-03-17T10:45:53.564,48715,50235,1521,1
12,6,6,2026-03-17T10:45:56.604,2026-03-17T10:45:58.124,53275,54795,1521,1
13,2,2,2026-03-17T10:46:01.164,2026-03-17T10:46:02.684,57835,59356,1522,1
14,8,8,2026-03-17T10:46:05.724,2026-03-17T10:46:07.244,62396,63916,1521,1
15,4,4,2026-03-17T10:46:10.284,2026-03-17T10:46:11.804,66955,68475,1521,1
16,3,3,2026-03-17T10:46:14.844,2026-03-17T10:46:16.364,71516,73035,1520,1
17,1,1,2026-03-17T10:46:19.404,2026-03-17T10:46:20.924,76076,77594,1519,1
18,8,8,2026-03-17T10:46:23.964,2026-03-17T10:46:25.484,80634,82155,1522,1
19,3,3,2026-03-17T10:46:28.524,2026-03-17T10:46:30.044,85195,86715,1521,1
20,1,1,2026-03-17T10:46:33.084,2026-03-17T10:46:34.604,89754,91274,1521,1
21,5,5,2026-03-17T10:46:37.644,2026-03-17T10:46:39.164,94314,95835,1522,1
22,6,6,2026-03-17T10:46:42.204,2026-03-17T10:46:43.724,98875,100395,1521,1
23,7,7,2026-03-17T10:46:46.764,2026-03-17T10:46:48.284,103435,104954,1520,1
24,2,2,2026-03-17T10:46:51.324,2026-03-17T10:46:52.844,107994,109515,1522,1
